# Created by Octave 3.4.0, Mon Nov 21 22:45:26 2011 GMT <davidsingleton@davidsingleton-macbookpro.local>
# name: pp
# type: matrix
# rows: 10
# columns: 4
 0.779995 0.0910283 0.40549 0.0987613
 0.779597 0.0911743 0.405465 0.0989126
 0.779789 0.0911037 0.405477 0.0988394
 0.77956 0.091188 0.405462 0.0989267
 0.779623 0.0911648 0.405466 0.0989027
 0.779996 0.0910277 0.40549 0.0987607
 0.779988 0.0910307 0.405489 0.0987638
 0.779996 0.0910279 0.40549 0.0987609
 0.779997 0.0910273 0.40549 0.0987603
 0.70127 0.120564 0.40105 0.129134

